dataset,x,y,LAD11NM
uc,18628,0.1868726156615728,Tower Hamlets
uc,18659,0.19057989150178695,Tower Hamlets
uc,18262,0.03909717418818426,Wandsworth
uc,18293,0.0413451041388214,Wandsworth
uc,18322,0.04297537857031151,Wandsworth
uc,18353,0.05755120847453625,Wandsworth
uc,18383,0.09084158043509336,Wandsworth
uc,18414,0.09619879667259308,Wandsworth
uc,18444,0.09922404819494587,Wandsworth
uc,18475,0.10132071556946537,Wandsworth
uc,18506,0.10392579326926915,Wandsworth
uc,18536,0.10602666238201415,Wandsworth
uc,18567,0.11024940929863157,Wandsworth
uc,18597,0.11386290417255296,Wandsworth
uc,18628,0.1147662778910333,Wandsworth
uc,18659,0.11744278514067041,Wandsworth
uc,18262,0.03818687940413344,Westminster
uc,18293,0.038981976048686605,Westminster
uc,18322,0.04054992887221101,Westminster
uc,18353,0.05452250137404376,Westminster
uc,18383,0.08070508948034318,Westminster
uc,18414,0.085264384924634,Westminster
uc,18444,0.08834468940772806,Westminster
uc,18475,0.09020176828381725,Westminster
uc,18506,0.09305966811109223,Westminster
uc,18536,0.09487226605601762,Westminster
uc,18567,0.0990868342837889,Westminster
uc,18597,0.10275095098840799,Westminster
uc,18628,0.10453574835135598,Westminster
uc,18659,0.10782177714108267,Westminster
uc,18262,0.09791450536123146,Barking & Dagenham
uc,18293,0.10382474758713614,Barking & Dagenham
uc,18322,0.10853353905752232,Barking & Dagenham
uc,18353,0.13489829383545318,Barking & Dagenham
uc,18383,0.19704538633208726,Barking & Dagenham
uc,18414,0.2079479922563887,Barking & Dagenham
uc,18444,0.2135746622542828,Barking & Dagenham
uc,18475,0.21615666201458963,Barking & Dagenham
uc,18506,0.2194326674908171,Barking & Dagenham
uc,18536,0.22427578264815567,Barking & Dagenham
uc,18567,0.23341725578797035,Barking & Dagenham
uc,18597,0.23893945180712373,Barking & Dagenham
uc,18628,0.24033492566601788,Barking & Dagenham
uc,18659,0.2459690580909649,Barking & Dagenham
uc,18262,0.05784213840516717,Barnet
uc,18293,0.0604778613648061,Barnet
uc,18322,0.06316550007971065,Barnet
uc,18353,0.0822425433800064,Barnet
uc,18383,0.12572797869441302,Barnet
uc,18414,0.13335959471845846,Barnet
uc,18444,0.13634674740604927,Barnet
uc,18475,0.13841938409703805,Barnet
uc,18506,0.14131468583300508,Barnet
uc,18536,0.14301193167822712,Barnet
uc,18567,0.14680577533225286,Barnet
uc,18597,0.14986481137328833,Barnet
uc,18628,0.15099897094986026,Barnet
uc,18659,0.15413388386397625,Barnet
uc,18262,0.04670337271394184,Bexley
uc,18293,0.050296941397813585,Bexley
uc,18322,0.05232157882658915,Bexley
uc,18353,0.07995690321614632,Bexley
uc,18383,0.1110751247902531,Bexley
uc,18414,0.11438875968172178,Bexley
uc,18444,0.11571030758539201,Bexley
uc,18475,0.1162636650820027,Bexley
uc,18506,0.11828830251077826,Bexley
uc,18536,0.11837293365731873,Bexley
uc,18567,0.12070354523127902,Bexley
uc,18597,0.12251334974960573,Bexley
uc,18628,0.12370469588936756,Bexley
uc,18659,0.12705088122181335,Bexley
uc,18262,0.06365415531177067,Brent
uc,18293,0.0682363080316901,Brent
uc,18322,0.07139876695953917,Brent
uc,18353,0.09397735861419684,Brent
uc,18383,0.1534224858565281,Brent
uc,18414,0.16747836445814793,Brent
uc,18444,0.17280221617841182,Brent
uc,18475,0.17596467510626088,Brent
uc,18506,0.18164345027454237,Brent
uc,18536,0.18650772163262966,Brent
uc,18567,0.19379730321883715,Brent
uc,18597,0.19884813690216444,Brent
uc,18628,0.20191048921647006,Brent
uc,18659,0.2089907569743595,Brent
uc,18262,0.042096646051390164,Bromley
uc,18293,0.04454052329558371,Bromley
uc,18322,0.046153383931590714,Bromley
uc,18353,0.06421447270004721,Bromley
uc,18383,0.09893523169652729,Bromley
uc,18414,0.10242648490251807,Bromley
uc,18444,0.10434421553679468,Bromley
uc,18475,0.10431962924661166,Bromley
uc,18506,0.10620785633266863,Bromley
uc,18536,0.10718639068195338,Bromley
uc,18567,0.11112019711123876,Bromley
uc,18597,0.11312152113213769,Bromley
uc,18628,0.11324936984108946,Bromley
uc,18659,0.11445409806005812,Bromley
uc,18262,0.11826537305738352,Croydon
uc,18293,0.12191619503402357,Croydon
uc,18322,0.12408706454084985,Croydon
uc,18353,0.1556403053199181,Croydon
uc,18383,0.18969147692510846,Croydon
uc,18414,0.1969563264799678,Croydon
uc,18444,0.19963822929819386,Croydon
uc,18475,0.20365699525904177,Croydon
uc,18506,0.20692760845200037,Croydon
uc,18536,0.20831761905900778,Croydon
