dataset,xwhich,xvarchar,xvardt,yval,yvllb,text
aq_pm,2,,17652,29.30806451612902,,May 18
aq_pm,2,,17683,21.25236111111111,,Jun 18
aq_pm,2,,17713,22.91935483870968,,Jul 18
aq_pm,2,,17744,16.284946236559136,,Aug 18
aq_pm,2,,17775,18.960277777777783,,Sep 18
aq_pm,2,,17805,19.320430107526878,,Oct 18
aq_pm,2,,17836,23.891944444444448,,Nov 18
aq_pm,2,,17866,19.69139784946236,,Dec 18
aq_pm,2,,17897,22.723333333333336,,Jan 19
aq_pm,2,,17928,28.672916666666676,,Feb 19
aq_pm,2,,17956,20.914650537634405,,Mar 19
aq_pm,2,,17987,32.253750000000075,,Apr 19
aq_pm,2,,18017,19.479973118279556,,May 19
aq_pm,2,,18048,17.953333333333333,,Jun 19
aq_pm,2,,18078,18.469086021505365,,Jul 19
empeth,1,2012,NA,73.7,White,
empeth,1,2012,NA,59.6,Ethnic Minorities,
empeth,1,2013,NA,75,White,
empeth,1,2013,NA,60.8,Ethnic Minorities,
empeth,1,2014,NA,76.8,White,
empeth,1,2014,NA,62.7,Ethnic Minorities,
empeth,1,2015,NA,78.2,White,
empeth,1,2015,NA,65,Ethnic Minorities,
empeth,1,2016,NA,78.6,White,
empeth,1,2016,NA,66.3,Ethnic Minorities,
empeth,1,2017,NA,78.8,White,
empeth,1,2017,NA,66.4,Ethnic Minorities,
empeth,1,2018,NA,79.6,White,
empeth,1,2018,NA,66.4,Ethnic Minorities,
i_rdnss,1,2019,NA,75,White,
i_rdnss,1,2019,NA,76,Mixed,
i_rdnss,1,2019,NA,75,Asian,
i_rdnss,1,2019,NA,70,Black,
i_rdnss,1,2019,NA,82,Chinese,
i_rdnss,1,2019,NA,73,All pupils,
i_rdnss,1,2018,NA,74,White,
i_rdnss,1,2018,NA,75,Mixed,
i_rdnss,1,2018,NA,74,Asian,
i_rdnss,1,2018,NA,70,Black,
i_rdnss,1,2018,NA,83,Chinese,
i_rdnss,1,2018,NA,73,All pupils,
i_rdnss,1,2017,NA,73,White,
i_rdnss,1,2017,NA,75,Mixed,
i_rdnss,1,2017,NA,73,Asian,
i_rdnss,1,2017,NA,70,Black,
i_rdnss,1,2017,NA,79,Chinese,
i_rdnss,1,2017,NA,72,All pupils,
i_rdnss,1,2016,NA,71,White,
i_rdnss,1,2016,NA,73,Mixed,
i_rdnss,1,2016,NA,71,Asian,
i_rdnss,1,2016,NA,68,Black,
i_rdnss,1,2016,NA,74,Chinese,
i_rdnss,1,2016,NA,70,All pupils,
i_rdnss,1,2015,NA,68,White,
i_rdnss,1,2015,NA,69,Mixed,
i_rdnss,1,2015,NA,67,Asian,
i_rdnss,1,2015,NA,64,Black,
i_rdnss,1,2015,NA,71,Chinese,
i_rdnss,1,2015,NA,66,All pupils,
i_rdnss,1,2014,NA,62,White,
i_rdnss,1,2014,NA,64,Mixed,
i_rdnss,1,2014,NA,61,Asian,
i_rdnss,1,2014,NA,59,Black,
i_rdnss,1,2014,NA,62,Chinese,
i_rdnss,1,2014,NA,60,All pupils,
i_rdnss,1,2013,NA,52,White,
i_rdnss,1,2013,NA,53,Mixed,
i_rdnss,1,2013,NA,50,Asian,
i_rdnss,1,2013,NA,49,Black,
i_rdnss,1,2013,NA,51,Chinese,
i_rdnss,1,2013,NA,50,All pupils,
rdnss_lng,1,2019,NA,77,Pupils whose first language is English,
rdnss_lng,1,2019,NA,71,Pupils whose first language is other than English,
rdnss_lng,1,2019,NA,73,All Pupils,
rdnss_lng,1,2018,NA,76,Pupils whose first language is English,
rdnss_lng,1,2018,NA,70,Pupils whose first language is other than English,
rdnss_lng,1,2018,NA,73,All Pupils,
rdnss_lng,1,2017,NA,76,Pupils whose first language is English,
rdnss_lng,1,2017,NA,69,Pupils whose first language is other than English,
rdnss_lng,1,2017,NA,72,All Pupils,
rdnss_lng,1,2016,NA,74,Pupils whose first language is English,
rdnss_lng,1,2016,NA,67,Pupils whose first language is other than English,
rdnss_lng,1,2016,NA,70,All Pupils,
rdnss_lng,1,2015,NA,71,Pupils whose first language is English,
rdnss_lng,1,2015,NA,63,Pupils whose first language is other than English,
rdnss_lng,1,2015,NA,66,All Pupils,
rdnss_lng,1,2014,NA,65,Pupils whose first language is English,
rdnss_lng,1,2014,NA,56,Pupils whose first language is other than English,
rdnss_lng,1,2014,NA,60,All Pupils,
